sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
8034,F,20,U,3,2,teacher,health,no,yes,no,yes,90.0,State,57.0,Central,Commerce,73.0,Sci&Tech,Yes,56.0,Mkt&HR,80,Placed,364769.0
8035,F,21,R,4,4,teacher,health,no,no,no,no,86.0,Central,58.0,Central,Science,79.0,Comm&Mgmt,No,80.0,Mkt&Fin,57,Placed,410934.0
8036,F,23,U,2,3,services,teacher,no,yes,no,yes,90.0,Private,60.0,Private,Science,58.0,Comm&Mgmt,No,74.0,Mkt&Fin,74,Not Placed,
8037,M,18,U,1,2,teacher,health,yes,yes,no,no,85.0,Central,86.0,Central,Science,67.0,Sci&Tech,No,81.0,Mkt&Fin,71,Placed,391032.0
8038,F,18,R,3,1,services,services,no,yes,yes,yes,72.0,State,62.0,Private,Science,63.0,Sci&Tech,No,68.0,Mkt&Fin,82,Placed,370526.0
8039,M,18,R,1,3,health,health,no,yes,yes,no,85.0,Central,68.0,State,Science,63.0,Sci&Tech,Yes,86.0,Mkt&HR,57,Not Placed,
8040,M,18,R,2,2,at_home,services,yes,yes,no,yes,88.0,Central,51.0,Private,Science,65.0,Comm&Mgmt,No,54.0,Mkt&HR,64,Not Placed,
8041,F,21,U,1,3,services,services,yes,yes,yes,no,58.0,Central,79.0,Private,Arts,53.0,Sci&Tech,No,55.0,Mkt&HR,65,Not Placed,
8042,M,22,U,1,3,services,at_home,yes,no,no,yes,90.0,Private,63.0,Private,Commerce,60.0,Sci&Tech,No,61.0,Mkt&HR,81,Not Placed,
8043,M,21,R,4,3,at_home,other,no,no,yes,yes,61.0,Private,72.0,Central,Science,89.0,Comm&Mgmt,Yes,50.0,Mkt&HR,80,Placed,456651.0
8044,F,22,U,1,2,services,at_home,yes,yes,yes,yes,92.0,Private,87.0,State,Arts,91.0,Sci&Tech,No,65.0,Mkt&HR,57,Placed,383028.0
8045,F,21,R,2,2,at_home,services,yes,yes,no,no,66.0,State,78.0,Central,Science,50.0,Comm&Mgmt,Yes,71.0,Mkt&Fin,81,Placed,351456.0
8046,M,23,R,4,4,health,health,no,no,no,yes,55.0,Central,78.0,State,Commerce,58.0,Sci&Tech,Yes,67.0,Mkt&Fin,87,Not Placed,
8047,F,20,U,1,4,other,services,no,yes,no,yes,53.0,State,82.0,Private,Arts,56.0,Sci&Tech,Yes,90.0,Mkt&HR,64,Placed,312551.0
8048,F,22,U,4,1,at_home,health,yes,no,yes,yes,84.0,State,64.0,Central,Science,70.0,Comm&Mgmt,No,81.0,Mkt&HR,63,Not Placed,
8049,M,22,U,2,3,services,teacher,no,yes,yes,yes,90.0,State,59.0,State,Science,59.0,Sci&Tech,Yes,86.0,Mkt&HR,85,Placed,442399.0
8050,M,19,U,2,3,teacher,teacher,yes,yes,yes,yes,72.0,State,70.0,Private,Arts,59.0,Comm&Mgmt,Yes,81.0,Mkt&HR,92,Placed,420366.0
8051,M,20,U,1,3,at_home,teacher,yes,no,yes,no,84.0,Central,57.0,Central,Science,56.0,Comm&Mgmt,Yes,81.0,Mkt&Fin,90,Placed,401664.0
8052,F,22,R,3,2,services,at_home,yes,yes,no,no,87.0,State,87.0,Central,Arts,74.0,Comm&Mgmt,No,55.0,Mkt&HR,79,Not Placed,
8053,F,23,U,1,4,other,teacher,yes,no,yes,yes,82.0,Private,73.0,Central,Arts,75.0,Comm&Mgmt,Yes,59.0,Mkt&Fin,71,Placed,387614.0
8054,F,20,U,1,2,at_home,teacher,no,no,no,no,66.0,Central,61.0,State,Commerce,94.0,Sci&Tech,No,75.0,Mkt&Fin,86,Placed,542051.0
8055,M,20,U,3,1,services,at_home,yes,yes,yes,no,86.0,State,89.0,Private,Arts,55.0,Sci&Tech,No,86.0,Mkt&Fin,62,Placed,318868.0
8056,F,20,U,2,3,health,health,yes,yes,no,no,54.0,Private,65.0,Private,Commerce,87.0,Comm&Mgmt,No,61.0,Mkt&HR,90,Placed,476541.0
8057,M,21,R,1,2,services,services,yes,no,yes,yes,88.0,State,95.0,Private,Science,78.0,Comm&Mgmt,No,79.0,Mkt&Fin,86,Placed,509994.0
8058,F,23,R,2,3,at_home,other,yes,no,yes,no,92.0,State,75.0,Central,Science,65.0,Sci&Tech,No,56.0,Mkt&Fin,87,Placed,362226.0
8059,F,21,U,2,3,teacher,at_home,yes,yes,no,no,73.0,Private,88.0,Central,Commerce,78.0,Comm&Mgmt,Yes,89.0,Mkt&Fin,85,Placed,550000.0
8060,M,20,U,1,1,at_home,at_home,no,no,no,yes,86.0,Central,59.0,Central,Science,56.0,Sci&Tech,No,57.0,Mkt&Fin,71,Placed,239170.0
8061,M,22,U,3,1,services,health,yes,yes,no,no,80.0,Central,94.0,State,Arts,87.0,Comm&Mgmt,No,80.0,Mkt&HR,70,Placed,505619.0
8062,M,21,R,3,2,health,other,yes,no,yes,no,65.0,State,85.0,Central,Arts,56.0,Comm&Mgmt,No,77.0,Mkt&Fin,75,Placed,309084.0
8063,M,23,R,4,2,teacher,other,no,no,no,yes,82.0,Central,92.0,State,Commerce,82.0,Comm&Mgmt,Yes,56.0,Mkt&Fin,73,Placed,398488.0
8064,F,22,U,2,1,other,teacher,yes,yes,yes,yes,90.0,Private,82.0,Private,Science,94.0,Sci&Tech,Yes,63.0,Mkt&HR,53,Placed,429899.0
8065,F,18,U,2,2,health,at_home,no,no,yes,no,50.0,Private,50.0,Central,Arts,56.0,Comm&Mgmt,Yes,57.0,Mkt&Fin,62,Not Placed,
8066,F,20,R,1,3,other,teacher,yes,yes,no,yes,52.0,State,70.0,Private,Arts,92.0,Sci&Tech,Yes,59.0,Mkt&Fin,56,Placed,429375.0
8067,M,19,R,4,4,other,services,yes,no,yes,yes,66.0,Central,95.0,Central,Arts,65.0,Sci&Tech,Yes,62.0,Mkt&Fin,90,Not Placed,
8068,M,21,R,2,4,at_home,at_home,no,no,yes,no,53.0,Private,73.0,State,Arts,58.0,Comm&Mgmt,Yes,51.0,Mkt&HR,57,Not Placed,
8069,F,21,U,1,1,other,health,yes,yes,no,no,80.0,State,50.0,Private,Commerce,53.0,Comm&Mgmt,No,57.0,Mkt&HR,55,Not Placed,
8070,M,23,R,3,2,other,other,no,no,yes,no,82.0,Central,78.0,Central,Arts,69.0,Sci&Tech,Yes,87.0,Mkt&Fin,70,Placed,446886.0
8071,M,21,U,2,3,services,health,yes,no,yes,yes,82.0,State,74.0,State,Commerce,70.0,Comm&Mgmt,No,67.0,Mkt&HR,52,Placed,275965.0
8072,M,21,U,4,1,health,health,yes,no,yes,yes,51.0,Private,67.0,State,Arts,60.0,Comm&Mgmt,Yes,73.0,Mkt&HR,87,Placed,356261.0
8073,F,18,R,4,3,other,services,yes,no,yes,yes,91.0,State,83.0,Private,Science,69.0,Sci&Tech,Yes,84.0,Mkt&HR,66,Placed,389872.0
8074,F,20,R,3,4,services,other,yes,no,yes,no,60.0,State,69.0,Private,Commerce,89.0,Comm&Mgmt,No,92.0,Mkt&Fin,89,Placed,550000.0
8075,M,19,U,1,3,other,other,no,yes,no,no,60.0,State,53.0,State,Arts,53.0,Sci&Tech,No,92.0,Mkt&HR,58,Not Placed,
8076,F,21,U,1,1,at_home,other,yes,yes,no,no,52.0,Central,89.0,Private,Arts,75.0,Comm&Mgmt,Yes,62.0,Mkt&Fin,86,Not Placed,
8077,M,18,U,1,2,other,teacher,no,yes,no,no,58.0,Private,57.0,State,Science,54.0,Sci&Tech,Yes,74.0,Mkt&HR,50,Not Placed,
8078,F,19,U,2,4,health,teacher,no,yes,no,no,75.0,State,62.0,Central,Arts,73.0,Sci&Tech,Yes,65.0,Mkt&Fin,60,Placed,301800.0
8079,F,20,U,1,4,teacher,other,no,no,no,yes,65.0,Central,66.0,State,Arts,68.0,Comm&Mgmt,No,74.0,Mkt&Fin,64,Placed,337934.0
8080,M,23,R,1,2,health,health,no,yes,yes,no,75.0,Central,51.0,Central,Commerce,73.0,Sci&Tech,No,94.0,Mkt&HR,59,Placed,383649.0
8081,F,22,R,4,1,other,health,yes,no,yes,yes,71.0,State,75.0,Central,Commerce,66.0,Comm&Mgmt,Yes,52.0,Mkt&HR,83,Placed,323267.0
8082,F,18,U,4,3,services,at_home,yes,yes,no,no,67.0,Central,81.0,Private,Science,74.0,Sci&Tech,Yes,78.0,Mkt&Fin,70,Placed,405095.0
8083,M,19,U,1,2,health,other,yes,yes,no,no,90.0,State,92.0,State,Arts,51.0,Comm&Mgmt,Yes,92.0,Mkt&HR,89,Placed,390895.0
8084,M,20,R,4,4,services,health,yes,yes,yes,no,75.0,State,94.0,Central,Commerce,66.0,Sci&Tech,Yes,74.0,Mkt&Fin,93,Placed,449101.0
8085,M,19,U,4,2,teacher,teacher,no,yes,no,yes,73.0,Central,70.0,State,Science,57.0,Comm&Mgmt,Yes,63.0,Mkt&HR,53,Not Placed,
8086,F,18,R,4,2,other,teacher,no,no,yes,yes,90.0,State,76.0,Private,Commerce,80.0,Comm&Mgmt,No,91.0,Mkt&HR,57,Placed,454591.0
8087,M,18,R,2,4,services,health,no,yes,yes,yes,58.0,Central,59.0,Central,Commerce,83.0,Sci&Tech,No,69.0,Mkt&Fin,60,Placed,413538.0
8088,F,21,U,4,2,at_home,at_home,yes,yes,no,yes,68.0,Private,83.0,Private,Arts,82.0,Comm&Mgmt,Yes,58.0,Mkt&HR,89,Placed,481467.0
8089,F,23,R,3,3,services,services,yes,no,no,yes,94.0,Private,72.0,State,Science,74.0,Comm&Mgmt,Yes,69.0,Mkt&HR,70,Placed,353062.0
8090,F,20,U,4,3,teacher,services,no,no,no,no,84.0,Private,75.0,Central,Commerce,88.0,Sci&Tech,Yes,62.0,Mkt&Fin,56,Placed,387731.0
8091,M,21,U,2,2,services,other,yes,yes,no,no,57.0,State,69.0,Central,Commerce,83.0,Comm&Mgmt,Yes,92.0,Mkt&HR,81,Placed,550000.0
8092,M,21,R,2,3,health,other,no,no,yes,no,83.0,State,63.0,State,Arts,95.0,Comm&Mgmt,No,85.0,Mkt&HR,58,Placed,508020.0
8093,M,22,U,2,3,health,at_home,yes,no,no,no,87.0,Private,68.0,Central,Arts,67.0,Sci&Tech,No,50.0,Mkt&Fin,94,Placed,371467.0
8094,M,20,R,1,1,other,health,yes,no,no,yes,93.0,State,90.0,Private,Arts,86.0,Sci&Tech,Yes,72.0,Mkt&Fin,75,Placed,470558.0
8095,F,20,R,2,3,services,services,yes,yes,no,no,92.0,State,60.0,Central,Science,50.0,Comm&Mgmt,No,71.0,Mkt&HR,61,Not Placed,
8096,F,22,U,1,4,health,health,no,no,no,yes,87.0,State,66.0,Private,Commerce,87.0,Sci&Tech,Yes,91.0,Mkt&Fin,65,Placed,550000.0
8097,F,23,U,4,2,services,teacher,no,yes,no,yes,74.0,Central,55.0,Central,Commerce,95.0,Sci&Tech,No,50.0,Mkt&HR,67,Not Placed,
8098,M,18,U,2,4,services,other,yes,yes,yes,no,71.0,Central,74.0,Central,Arts,92.0,Comm&Mgmt,Yes,59.0,Mkt&HR,89,Placed,516648.0
8099,F,20,U,1,1,other,at_home,no,no,no,yes,62.0,Central,62.0,Central,Commerce,83.0,Sci&Tech,No,50.0,Mkt&Fin,86,Placed,438074.0
8100,F,21,R,1,2,health,teacher,no,yes,yes,no,57.0,State,84.0,Private,Science,81.0,Comm&Mgmt,Yes,78.0,Mkt&Fin,51,Placed,419650.0
8101,F,21,U,2,1,services,teacher,no,yes,no,yes,67.0,Private,78.0,Private,Science,73.0,Comm&Mgmt,No,72.0,Mkt&Fin,57,Not Placed,
8102,M,22,U,4,2,teacher,services,yes,no,yes,yes,85.0,Central,54.0,State,Science,74.0,Sci&Tech,No,85.0,Mkt&Fin,62,Placed,385061.0
8103,F,18,U,2,4,other,other,yes,no,no,no,87.0,Central,51.0,State,Commerce,68.0,Sci&Tech,No,62.0,Mkt&HR,88,Not Placed,
8104,M,19,R,1,1,teacher,health,no,no,yes,no,66.0,Private,65.0,Private,Commerce,91.0,Comm&Mgmt,Yes,91.0,Mkt&HR,54,Placed,511266.0
8105,M,18,R,2,4,other,other,yes,yes,no,no,80.0,Central,54.0,Private,Commerce,67.0,Comm&Mgmt,Yes,60.0,Mkt&HR,59,Not Placed,
8106,M,21,R,4,2,other,teacher,no,yes,yes,yes,56.0,Private,60.0,Private,Arts,91.0,Comm&Mgmt,No,86.0,Mkt&Fin,87,Placed,550000.0
8107,F,23,R,2,4,other,teacher,no,yes,no,no,66.0,State,76.0,Central,Commerce,81.0,Sci&Tech,No,57.0,Mkt&HR,54,Not Placed,
8108,F,19,U,2,4,other,health,no,yes,no,no,85.0,Central,94.0,Private,Commerce,81.0,Sci&Tech,No,79.0,Mkt&HR,84,Placed,470155.0
8109,M,22,U,3,3,health,services,yes,yes,no,no,69.0,Private,76.0,Private,Arts,67.0,Comm&Mgmt,No,50.0,Mkt&Fin,55,Not Placed,
8110,F,22,U,2,1,at_home,at_home,no,no,no,yes,68.0,State,87.0,Central,Arts,62.0,Sci&Tech,No,80.0,Mkt&HR,54,Not Placed,
8111,F,18,R,4,1,teacher,other,no,no,yes,yes,56.0,Central,70.0,Central,Commerce,71.0,Comm&Mgmt,Yes,89.0,Mkt&HR,72,Placed,459554.0
8112,M,19,R,3,4,at_home,at_home,no,no,no,no,87.0,State,87.0,Private,Arts,55.0,Comm&Mgmt,No,59.0,Mkt&HR,56,Not Placed,
8113,M,22,U,1,4,teacher,at_home,no,no,yes,no,91.0,Private,94.0,Central,Science,58.0,Sci&Tech,Yes,59.0,Mkt&Fin,86,Not Placed,
8114,F,23,R,4,3,at_home,teacher,yes,yes,yes,yes,61.0,Private,78.0,State,Commerce,74.0,Sci&Tech,No,68.0,Mkt&HR,72,Placed,362595.0
8115,F,19,R,2,4,health,health,yes,no,no,yes,79.0,State,69.0,State,Commerce,59.0,Comm&Mgmt,No,72.0,Mkt&Fin,56,Not Placed,
8116,M,18,R,1,4,services,other,no,yes,no,yes,62.0,State,85.0,State,Science,56.0,Sci&Tech,No,56.0,Mkt&Fin,65,Not Placed,
8117,F,20,R,4,4,services,at_home,yes,yes,no,no,67.0,State,51.0,Private,Science,82.0,Sci&Tech,Yes,55.0,Mkt&HR,94,Placed,475547.0
8118,F,22,R,2,4,teacher,other,no,yes,no,no,58.0,State,63.0,Private,Commerce,94.0,Sci&Tech,Yes,69.0,Mkt&HR,59,Placed,449741.0
8119,M,22,U,1,2,other,at_home,no,yes,yes,yes,69.0,Private,74.0,Central,Science,58.0,Comm&Mgmt,Yes,57.0,Mkt&HR,55,Placed,221854.0
8120,F,21,U,2,3,at_home,other,yes,yes,no,yes,91.0,State,67.0,State,Commerce,55.0,Comm&Mgmt,Yes,51.0,Mkt&HR,50,Not Placed,
8121,M,19,U,4,3,health,health,yes,yes,yes,yes,59.0,State,50.0,Private,Commerce,65.0,Sci&Tech,No,65.0,Mkt&Fin,73,Not Placed,
8122,F,22,U,2,2,other,other,no,yes,no,no,52.0,State,73.0,Central,Commerce,93.0,Comm&Mgmt,Yes,57.0,Mkt&HR,93,Placed,533170.0
8123,M,20,R,1,1,health,other,no,yes,yes,yes,76.0,State,71.0,Central,Commerce,81.0,Comm&Mgmt,No,57.0,Mkt&Fin,85,Placed,403235.0
8124,F,21,U,1,4,teacher,health,yes,no,yes,no,72.0,Central,66.0,State,Science,79.0,Comm&Mgmt,No,67.0,Mkt&HR,58,Placed,334877.0
8125,M,21,U,4,1,at_home,health,yes,no,yes,yes,68.0,State,93.0,State,Arts,90.0,Sci&Tech,Yes,66.0,Mkt&HR,60,Placed,394497.0
8126,M,18,U,1,3,health,teacher,no,yes,yes,no,82.0,State,84.0,Private,Arts,85.0,Comm&Mgmt,Yes,79.0,Mkt&HR,71,Placed,479128.0
8127,M,18,R,2,2,health,other,yes,yes,no,yes,69.0,Central,73.0,Central,Science,67.0,Comm&Mgmt,No,56.0,Mkt&Fin,68,Not Placed,
8128,F,20,U,4,4,other,teacher,no,yes,yes,no,65.0,Central,73.0,Private,Science,74.0,Comm&Mgmt,No,86.0,Mkt&Fin,69,Placed,453826.0
8129,M,22,R,4,3,other,services,no,no,yes,yes,82.0,State,72.0,Private,Arts,85.0,Comm&Mgmt,No,65.0,Mkt&Fin,65,Placed,403406.0
8130,F,18,U,3,4,at_home,health,yes,yes,no,no,50.0,Central,94.0,Central,Arts,70.0,Sci&Tech,Yes,94.0,Mkt&HR,67,Placed,429435.0
8131,M,23,U,4,4,services,services,no,yes,yes,yes,72.0,Private,62.0,Private,Science,95.0,Sci&Tech,Yes,58.0,Mkt&Fin,67,Placed,454815.0
8132,F,20,R,2,1,other,at_home,no,no,no,no,94.0,State,51.0,Central,Commerce,78.0,Sci&Tech,Yes,86.0,Mkt&HR,69,Placed,479723.0
8133,F,19,R,2,2,health,services,no,yes,yes,yes,50.0,Private,88.0,Private,Arts,64.0,Comm&Mgmt,No,70.0,Mkt&HR,93,Not Placed,
8134,F,19,U,1,4,services,at_home,no,no,no,yes,54.0,State,83.0,Private,Science,76.0,Sci&Tech,No,60.0,Mkt&Fin,57,Placed,316259.0
8135,F,22,U,3,3,health,services,yes,yes,yes,yes,73.0,Private,75.0,Central,Science,73.0,Comm&Mgmt,Yes,63.0,Mkt&HR,67,Placed,351966.0
8136,F,21,U,2,2,health,at_home,yes,no,yes,no,85.0,Private,50.0,Central,Science,66.0,Comm&Mgmt,Yes,79.0,Mkt&HR,52,Not Placed,
8137,F,21,U,3,4,at_home,services,yes,no,yes,yes,89.0,Private,92.0,Central,Arts,76.0,Sci&Tech,Yes,74.0,Mkt&Fin,76,Placed,470700.0
8138,F,18,R,3,2,health,other,no,no,yes,yes,68.0,Private,54.0,State,Commerce,64.0,Sci&Tech,Yes,64.0,Mkt&Fin,81,Not Placed,
8139,F,19,U,2,1,health,teacher,no,no,no,yes,65.0,State,80.0,State,Commerce,63.0,Comm&Mgmt,Yes,69.0,Mkt&Fin,76,Placed,345966.0
8140,F,23,R,2,3,at_home,at_home,no,yes,yes,yes,74.0,Private,76.0,State,Commerce,91.0,Sci&Tech,Yes,70.0,Mkt&HR,75,Placed,507343.0
8141,M,22,U,4,4,teacher,services,no,yes,no,yes,88.0,Central,54.0,Central,Science,82.0,Sci&Tech,Yes,53.0,Mkt&Fin,69,Not Placed,
8142,M,20,U,1,1,teacher,other,no,yes,no,yes,90.0,State,54.0,Private,Arts,73.0,Sci&Tech,No,91.0,Mkt&HR,50,Placed,370180.0
8143,F,23,U,3,1,other,at_home,yes,yes,yes,yes,65.0,State,54.0,State,Arts,61.0,Sci&Tech,No,83.0,Mkt&Fin,82,Placed,435462.0
8144,F,21,R,3,3,services,health,no,no,no,yes,75.0,Private,81.0,Central,Science,62.0,Sci&Tech,Yes,78.0,Mkt&HR,95,Placed,434014.0
8145,M,23,R,1,2,health,teacher,no,yes,no,no,81.0,State,55.0,Central,Science,57.0,Sci&Tech,Yes,67.0,Mkt&HR,70,Placed,294087.0
8146,F,20,R,4,2,health,teacher,no,yes,yes,no,59.0,Private,87.0,Private,Commerce,78.0,Comm&Mgmt,No,92.0,Mkt&Fin,85,Placed,547098.0
8147,F,20,U,4,4,health,services,no,yes,yes,yes,56.0,Central,94.0,State,Commerce,83.0,Comm&Mgmt,No,77.0,Mkt&HR,59,Placed,398036.0
8148,F,21,R,4,3,other,services,yes,no,no,yes,90.0,Central,57.0,State,Science,66.0,Sci&Tech,Yes,72.0,Mkt&HR,59,Placed,310828.0
8149,F,18,R,3,2,services,services,no,no,no,no,60.0,Private,89.0,State,Science,75.0,Sci&Tech,Yes,80.0,Mkt&HR,69,Not Placed,
8150,M,21,U,4,3,health,other,no,yes,yes,no,94.0,State,93.0,Central,Arts,73.0,Comm&Mgmt,Yes,74.0,Mkt&HR,94,Placed,459333.0
8151,M,20,U,4,2,other,at_home,no,no,yes,yes,82.0,Central,73.0,State,Science,78.0,Sci&Tech,Yes,68.0,Mkt&HR,78,Placed,466055.0
8152,M,20,U,2,4,services,services,no,yes,no,no,66.0,Central,69.0,Private,Science,80.0,Comm&Mgmt,Yes,70.0,Mkt&HR,62,Placed,390289.0
8153,F,18,R,1,2,health,teacher,yes,yes,yes,no,57.0,Central,62.0,Central,Arts,70.0,Sci&Tech,No,69.0,Mkt&HR,87,Not Placed,
8154,M,23,U,1,1,health,services,yes,no,no,no,66.0,Central,94.0,Private,Science,63.0,Sci&Tech,No,82.0,Mkt&Fin,70,Placed,359431.0
8155,M,18,U,4,1,at_home,services,yes,no,no,no,83.0,Central,60.0,Central,Science,61.0,Sci&Tech,No,79.0,Mkt&Fin,71,Placed,312502.0
8156,F,23,U,3,1,health,teacher,yes,no,no,no,83.0,Private,85.0,Central,Commerce,86.0,Comm&Mgmt,Yes,85.0,Mkt&HR,87,Placed,550000.0
8157,M,19,U,3,3,at_home,health,yes,yes,yes,no,75.0,Central,80.0,State,Commerce,71.0,Sci&Tech,Yes,89.0,Mkt&Fin,89,Placed,522923.0
8158,M,23,U,1,1,teacher,services,no,yes,yes,yes,62.0,State,52.0,Central,Commerce,85.0,Comm&Mgmt,Yes,68.0,Mkt&Fin,55,Not Placed,
8159,M,21,U,1,3,services,other,no,no,yes,no,76.0,Private,70.0,State,Arts,77.0,Sci&Tech,Yes,80.0,Mkt&HR,73,Placed,422183.0
8160,F,20,R,1,3,services,at_home,no,yes,yes,yes,86.0,State,60.0,Private,Commerce,80.0,Sci&Tech,No,91.0,Mkt&HR,70,Placed,510185.0
8161,F,23,R,1,3,services,other,no,no,yes,yes,63.0,Central,57.0,Private,Science,54.0,Comm&Mgmt,No,68.0,Mkt&HR,70,Not Placed,
8162,F,18,U,4,4,other,other,yes,no,yes,yes,60.0,Private,61.0,Private,Arts,71.0,Sci&Tech,No,67.0,Mkt&HR,64,Not Placed,
8163,F,23,R,3,3,at_home,teacher,yes,no,no,no,70.0,State,95.0,Private,Science,74.0,Sci&Tech,No,66.0,Mkt&HR,52,Placed,334904.0
8164,F,22,U,4,1,at_home,health,yes,yes,no,no,50.0,State,53.0,Private,Science,54.0,Comm&Mgmt,No,75.0,Mkt&Fin,61,Placed,289007.0
8165,F,22,U,1,4,teacher,teacher,yes,yes,yes,no,57.0,Central,75.0,State,Science,92.0,Sci&Tech,Yes,79.0,Mkt&HR,53,Placed,466548.0
8166,M,20,R,4,3,teacher,other,no,no,no,yes,65.0,Central,87.0,Central,Commerce,89.0,Sci&Tech,No,92.0,Mkt&HR,94,Placed,550000.0
8167,M,19,U,4,2,other,teacher,yes,yes,no,yes,55.0,Central,78.0,Central,Science,87.0,Comm&Mgmt,Yes,64.0,Mkt&HR,68,Placed,421657.0
8168,M,23,U,1,1,other,teacher,no,no,yes,no,91.0,Private,66.0,State,Arts,52.0,Comm&Mgmt,No,72.0,Mkt&HR,90,Placed,369381.0
8169,M,22,U,4,3,health,services,no,yes,no,no,54.0,State,81.0,State,Arts,75.0,Comm&Mgmt,No,65.0,Mkt&HR,72,Placed,335280.0
8170,F,21,U,4,2,at_home,at_home,yes,yes,yes,no,94.0,Central,59.0,Private,Arts,76.0,Comm&Mgmt,Yes,79.0,Mkt&Fin,63,Not Placed,
8171,M,22,R,3,3,at_home,services,yes,no,yes,yes,87.0,Central,53.0,Private,Science,84.0,Comm&Mgmt,No,82.0,Mkt&HR,64,Placed,437367.0
8172,M,20,U,4,4,services,services,no,no,yes,no,64.0,State,73.0,Private,Science,56.0,Comm&Mgmt,Yes,95.0,Mkt&Fin,85,Placed,429175.0
8173,M,22,U,1,3,teacher,health,no,no,no,no,56.0,State,95.0,Central,Science,89.0,Comm&Mgmt,No,76.0,Mkt&HR,61,Placed,425540.0
8174,F,19,R,2,1,services,other,yes,no,no,yes,72.0,Private,60.0,State,Science,95.0,Comm&Mgmt,Yes,80.0,Mkt&HR,87,Placed,550000.0
8175,M,18,U,2,4,other,health,yes,yes,yes,no,61.0,Central,80.0,State,Science,71.0,Comm&Mgmt,Yes,64.0,Mkt&Fin,78,Placed,374042.0
8176,F,21,R,4,3,services,health,no,no,yes,no,75.0,State,83.0,Private,Commerce,78.0,Comm&Mgmt,Yes,92.0,Mkt&HR,70,Placed,488338.0
8177,M,21,R,2,3,other,at_home,yes,yes,yes,no,60.0,Central,65.0,Central,Science,53.0,Comm&Mgmt,No,88.0,Mkt&Fin,74,Not Placed,
8178,F,19,U,2,1,teacher,other,yes,no,no,yes,65.0,State,60.0,Central,Science,88.0,Comm&Mgmt,No,93.0,Mkt&HR,76,Placed,550000.0
8179,F,18,R,3,2,other,at_home,no,yes,yes,yes,76.0,Central,64.0,Private,Commerce,93.0,Comm&Mgmt,No,72.0,Mkt&Fin,53,Placed,467393.0
8180,M,20,R,3,1,health,other,no,yes,no,no,79.0,Central,92.0,Private,Commerce,50.0,Comm&Mgmt,No,82.0,Mkt&Fin,95,Placed,392960.0
8181,M,19,U,1,1,other,other,yes,no,no,no,91.0,Central,81.0,State,Commerce,69.0,Sci&Tech,Yes,81.0,Mkt&HR,60,Not Placed,
8182,M,18,R,3,4,services,services,yes,no,yes,no,91.0,Central,68.0,Central,Science,66.0,Sci&Tech,No,86.0,Mkt&Fin,93,Placed,424471.0
8183,F,22,R,1,1,services,at_home,yes,no,yes,yes,90.0,State,66.0,Private,Arts,67.0,Sci&Tech,No,56.0,Mkt&HR,91,Not Placed,
8184,F,19,U,3,3,teacher,other,yes,yes,yes,no,82.0,State,62.0,State,Arts,79.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,79,Placed,550000.0
8185,M,19,U,1,4,other,health,yes,no,yes,no,74.0,Private,56.0,State,Commerce,59.0,Comm&Mgmt,No,71.0,Mkt&HR,53,Not Placed,
8186,F,22,R,1,2,at_home,other,yes,yes,no,no,67.0,Private,90.0,State,Commerce,73.0,Comm&Mgmt,Yes,50.0,Mkt&Fin,81,Not Placed,
8187,F,18,U,1,2,teacher,teacher,yes,no,no,no,55.0,State,89.0,Private,Commerce,74.0,Comm&Mgmt,No,59.0,Mkt&HR,56,Not Placed,
8188,F,19,U,4,4,other,services,yes,no,no,yes,52.0,Central,83.0,Private,Arts,88.0,Sci&Tech,No,77.0,Mkt&Fin,72,Placed,466922.0
8189,M,21,U,3,4,services,other,yes,yes,no,no,60.0,State,93.0,Central,Commerce,55.0,Comm&Mgmt,Yes,80.0,Mkt&HR,78,Placed,345537.0
8190,F,20,R,4,2,other,services,no,no,no,yes,93.0,Private,71.0,State,Commerce,88.0,Sci&Tech,No,52.0,Mkt&Fin,69,Placed,398942.0
8191,M,19,R,3,2,other,services,no,no,no,no,51.0,State,50.0,Central,Commerce,87.0,Sci&Tech,No,53.0,Mkt&HR,82,Placed,437147.0
8192,F,18,U,4,1,at_home,teacher,no,no,yes,no,59.0,State,67.0,Private,Arts,75.0,Comm&Mgmt,No,55.0,Mkt&Fin,92,Placed,414820.0
8193,M,22,U,1,1,health,services,yes,no,no,no,64.0,State,57.0,Central,Science,83.0,Sci&Tech,Yes,65.0,Mkt&HR,79,Placed,479166.0
8194,F,22,U,2,2,health,other,yes,yes,no,no,78.0,Private,52.0,Private,Arts,73.0,Comm&Mgmt,No,78.0,Mkt&HR,89,Placed,449947.0
8195,M,19,U,1,2,health,at_home,yes,yes,yes,yes,61.0,State,59.0,Central,Arts,84.0,Sci&Tech,Yes,77.0,Mkt&HR,84,Placed,547657.0
8196,F,22,R,4,1,teacher,services,yes,no,no,no,69.0,State,52.0,State,Arts,73.0,Comm&Mgmt,No,70.0,Mkt&HR,78,Placed,387162.0
8197,M,19,U,3,2,services,health,yes,yes,yes,yes,57.0,Private,66.0,Private,Arts,81.0,Sci&Tech,No,78.0,Mkt&Fin,75,Placed,481950.0
